,Unnamed: 0,video_id,video_title,upload_date,view_count,like_count,comment_count,mean_weighted_sentiment_score,median_weighted_sentiment_score,std_weighted_sentiment_score,sentiment_label,days_since_upload,views_per_day,comment_count_per_day
38,38,MeR0neyhrEw,How much iPhone box costs to make in USA vs. China,2022-07-30,5546984,325141,5859,-0.3650025599342022,-0.5969308018684387,0.5040412645493637,Negative,97.0,57185.4,60.4
39,39,Feeh8hMClDU,How she started a $10mil per year “side hustle”,2022-07-28,180821,10472,116,-0.0915724055965741,0.1171593844890594,0.5986658409164433,Neutral,99.0,1826.47,1.17
40,40,sV76wNjPiuU,I Tried The Amazon Affiliate Side Hustle (how much I made),2022-07-27,385224,29550,99,0.1030739862667886,0.1575654745101928,0.5712582189563264,Positive,100.0,3852.24,0.99
41,41,ZkCZMeMBNS8,Is Amazon Affiliate Marketing a Good Side Hustle?,2022-07-26,2018008,152663,221,-0.111587299502665,0.1174818634986877,0.6026612699466943,Negative,101.0,19980.28,2.19
42,42,sn8D5BMDPfg,I Tried Selling Amazon Products With Memes,2022-07-25,39091,2187,77,0.3339469132271218,0.1860344171524048,0.5152366699953689,Positive,102.0,383.25,0.75
43,43,nwmvg6vpMns,I’m turning a meme page into a business,2022-07-22,269367,22415,176,-0.3314176872031379,-0.6322585344314575,0.5857038696146821,Negative,105.0,2565.4,1.68
44,44,0luY8pOzNww,I bought a questionable pineapple…,2022-07-20,10616068,946659,4680,0.0038384703745377,0.1259798049926757,0.5107310288538469,Neutral,107.0,99215.59,43.74
45,45,sZcgNlKA54k,I’m investing in $100 empty boxes #shorts #sponsored,2022-07-18,1681458,159558,475,-0.2456835637197774,0.0935898780822753,0.5901250262295734,Negative,109.0,15426.22,4.36
46,46,_G6Tvk5rJdc,I paid Fiverr to redesign my product packaging,2022-07-14,7941682,408708,2753,0.0498816344339947,0.1339082896709441,0.6187594650757069,Neutral,113.0,70280.37,24.36
47,47,-NeMQkXjzLQ,I tried turning $21 into $100 in profit (30min challenge),2022-07-12,1952270,158666,414,-0.0664247611101637,0.1297030866146087,0.5502024531712301,Neutral,115.0,16976.26,3.6
